region,round,team1,seed1,score1,team2,seed2,score2,winner,year
Midwest,First Round,Michigan,3,78,Pepperdine,14,74,Michigan,1994
Midwest,First Round,Saint Louis,7,66,Maryland,10,74,Maryland,1994
Midwest,First Round,UMass,2,78,Texas State,15,60,UMass,1994
Midwest,Second Round,Arkansas,1,85,Georgetown,9,73,Arkansas,1994
Midwest,Second Round,Tulsa,12,82,Oklahoma State,4,80,Tulsa,1994
Midwest,Second Round,Texas,6,79,Michigan,3,84,Michigan,1994
Midwest,Second Round,Maryland,10,95,UMass,2,87,Maryland,1994
Midwest,Sweet Sixteen,Arkansas,1,103,Tulsa,12,84,Arkansas,1994
Midwest,Sweet Sixteen,Michigan,3,78,Maryland,10,71,Michigan,1994
Midwest,Elite Eight,Arkansas,1,76,Michigan,3,68,Arkansas,1994
West,First Round,Missouri,1,76,Navy,16,53,Missouri,1994
West,First Round,Cincinnati,8,72,Wisconsin,9,80,Wisconsin,1994
West,First Round,California,5,57,Green Bay,12,61,Green Bay,1994
West,First Round,Syracuse,4,92,Hawaii,13,78,Syracuse,1994
West,First Round,Minnesota,6,74,Southern Illinois,11,60,Minnesota,1994
West,First Round,Louisville,3,67,Boise State,14,58,Louisville,1994
West,First Round,Virginia,7,57,New Mexico,10,54,Virginia,1994
West,First Round,Arizona,2,81,Loyola (MD),15,55,Arizona,1994
West,Second Round,Missouri,1,109,Wisconsin,9,96,Missouri,1994
West,Second Round,Green Bay,12,59,Syracuse,4,64,Syracuse,1994
West,Second Round,Minnesota,6,55,Louisville,3,60,Louisville,1994
West,Second Round,Virginia,7,58,Arizona,2,71,Arizona,1994
West,Sweet Sixteen,Missouri,1,98,Syracuse,4,88,Missouri,1994
West,Sweet Sixteen,Louisville,3,70,Arizona,2,82,Arizona,1994
West,Elite Eight,Missouri,1,72,Arizona,2,92,Arizona,1994
National,Final Four,Arkansas,1,91,Arizona,2,82,Arkansas,1994
National,Final Four,Florida,3,65,Duke,2,70,Duke,1994
National,Championship,Arkansas,1,76,Duke,2,72,Arkansas,1994
East,First Round,UNC,1,85,East Carolina,16,65,UNC,1993
East,First Round,Rhode Island,8,74,Purdue,9,68,Rhode Island,1993
East,First Round,St. John's (NY),5,85,Texas Tech,12,67,St. John's (NY),1993
East,First Round,Arkansas,4,94,Holy Cross,13,64,Arkansas,1993
