Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
124,Jackson State,29,11,18,0.379,-14.82,-9.55,9.0,9.0,6,3,4,14,66.2,71.5,40.5,25.5,56.8,0.449,5.79,18.4,0.315,14.7,22.3,0.657,11.8,38.4,12.2,6.24,3.79,14.7,18.0
125,Jacksonville,32,14,18,0.438,-10.2,-4.47,9.0,9.0,10,3,3,13,68.2,71.9,40.7,25.2,56.9,0.442,6.31,18.7,0.338,15.3,21.8,0.7,11.3,35.5,14.2,7.34,4.22,14.7,18.7
126,Jacksonville State,28,17,11,0.607,-4.47,-4.28,8.0,8.0,9,3,6,8,66.3,64.9,40.4,23.1,51.2,0.452,4.25,13.8,0.308,14.4,19.5,0.736,12.0,33.7,12.0,6.54,3.64,15.9,19.0
127,James Madison NCAA,36,21,15,0.583,-1.67,-2.22,11.0,7.0,10,4,4,9,65.2,64.6,40.3,22.2,51.8,0.428,6.14,17.7,0.347,14.1,20.3,0.695,10.2,34.4,12.6,5.31,3.08,13.6,16.5
128,Kansas NCAA,37,31,6,0.838,20.79,7.55,14.0,4.0,16,1,7,3,75.2,61.9,40.7,21.3,59.0,0.361,6.38,21.0,0.303,13.0,18.9,0.687,11.8,32.9,10.8,7.19,2.92,12.6,18.4
129,Kansas City,32,8,24,0.25,-13.61,-2.74,5.0,11.0,3,11,4,11,60.9,70.4,40.0,24.7,51.7,0.478,6.44,16.0,0.402,14.6,21.5,0.677,9.22,32.0,13.6,7.88,3.16,12.5,15.2
130,Kansas State NCAA,35,27,8,0.771,13.54,6.54,14.0,4.0,15,1,7,3,69.0,60.4,40.0,21.4,51.2,0.419,4.89,15.4,0.318,12.7,18.5,0.687,10.7,32.0,11.1,5.54,3.4,14.1,16.4
131,Kennesaw State,30,3,27,0.1,-15.13,-4.5,2.0,16.0,2,10,1,15,61.0,71.7,40.8,24.7,50.0,0.495,5.97,15.6,0.382,16.2,23.8,0.683,9.67,34.4,14.0,6.6,3.4,14.0,17.4
132,Kent State,35,21,14,0.6,2.38,-0.82,9.0,7.0,12,6,8,7,71.0,67.8,40.7,23.5,54.2,0.434,5.74,18.4,0.313,15.0,22.0,0.684,11.5,34.2,13.6,5.97,3.83,13.9,19.3
133,Kentucky,33,21,12,0.636,13.96,5.81,12.0,6.0,16,2,4,8,72.6,64.5,40.3,23.1,58.9,0.392,5.42,16.7,0.324,12.8,17.8,0.719,12.0,33.5,10.9,5.91,3.52,11.8,19.8
134,La Salle NCAA,34,24,10,0.706,10.15,4.47,11.0,5.0,13,2,8,6,72.1,66.4,40.3,25.6,56.2,0.456,4.18,13.8,0.302,10.9,16.0,0.682,11.1,35.1,12.8,5.85,3.88,14.3,15.8
135,Lafayette,34,19,15,0.559,-2.99,-2.35,10.0,4.0,14,3,5,12,69.1,69.0,40.1,25.4,54.8,0.464,6.38,17.6,0.362,11.8,17.2,0.684,10.5,33.8,13.4,6.5,2.79,13.6,15.9
136,Lamar,31,3,28,0.097,-20.56,-3.27,1.0,17.0,1,10,1,17,60.1,77.4,40.4,29.1,64.4,0.452,6.52,18.2,0.358,12.6,18.7,0.674,13.2,37.4,15.8,9.9,4.84,11.4,16.4
137,Lehigh,31,21,10,0.677,3.96,-3.0,10.0,4.0,11,3,9,7,73.1,65.2,40.0,23.8,57.3,0.416,6.16,20.8,0.297,11.5,16.5,0.693,12.2,35.6,14.3,5.23,3.16,13.7,16.8
138,Liberty NCAA,36,15,21,0.417,-9.11,-5.78,6.0,10.0,8,7,4,11,69.1,70.0,40.4,24.4,57.9,0.422,5.89,19.4,0.304,15.3,22.3,0.685,12.1,36.2,12.5,6.64,3.61,10.7,18.7
139,Lipscomb,30,12,18,0.4,-11.41,-3.17,7.0,11.0,8,6,4,11,69.3,76.7,40.5,25.9,57.7,0.448,7.97,23.8,0.335,17.0,25.6,0.662,11.4,35.1,15.2,8.2,4.77,13.5,20.9
140,Little Rock,32,17,15,0.531,-4.34,-2.21,11.0,9.0,13,3,3,10,66.5,66.6,40.0,22.4,53.2,0.422,6.19,18.6,0.333,15.6,22.5,0.691,11.0,35.0,11.4,6.5,2.81,16.3,20.8
141,Long Beach State,33,19,14,0.576,-1.48,1.62,14.0,4.0,11,3,7,10,69.4,71.5,40.2,25.6,58.5,0.437,7.82,21.0,0.372,12.5,18.7,0.671,12.9,36.2,15.6,6.58,2.91,13.7,18.0
142,Long Island University NCAA,34,20,14,0.588,-3.19,-5.78,12.0,6.0,12,2,7,9,78.7,76.1,40.3,28.2,60.2,0.468,6.91,18.6,0.372,12.9,19.0,0.677,11.9,33.7,15.3,6.88,3.71,13.0,21.2
143,Longwood,33,8,25,0.242,-19.32,-5.07,4.0,12.0,4,9,2,14,68.8,81.4,40.2,29.6,61.4,0.482,6.91,17.9,0.385,15.3,21.1,0.726,11.9,36.3,16.5,9.0,3.33,13.5,17.3
144,Louisiana,33,13,20,0.394,-4.9,-2.22,8.0,12.0,10,5,2,14,70.8,73.1,40.5,24.9,57.6,0.432,6.15,17.6,0.35,17.2,24.6,0.696,12.7,38.8,11.4,6.55,3.91,15.1,18.8
145,Louisiana State,31,19,12,0.613,5.82,4.01,9.0,9.0,14,3,4,8,70.8,69.0,40.6,24.2,57.5,0.421,5.58,17.7,0.315,14.9,21.8,0.684,12.9,37.6,10.6,7.35,4.16,15.2,17.8
146,Louisiana Tech,34,27,7,0.794,5.47,-2.08,16.0,2.0,14,0,11,6,72.6,63.3,40.0,22.7,56.2,0.403,4.65,16.0,0.291,13.3,19.9,0.668,12.2,38.2,10.5,5.97,3.41,17.4,18.2
147,Louisiana-Monroe,27,4,23,0.148,-13.95,-1.43,3.0,17.0,3,9,1,13,60.0,72.6,40.4,25.2,53.7,0.469,7.07,19.6,0.362,15.1,21.3,0.711,10.6,34.7,13.9,8.15,4.96,14.8,15.1
148,Louisville NCAA,40,35,5,0.875,24.82,9.14,14.0,4.0,15,1,8,3,74.5,58.8,40.6,20.6,52.2,0.395,5.53,17.4,0.318,12.0,18.3,0.658,11.7,33.2,10.3,5.6,3.27,18.3,19.1
149,Loyola (IL),31,15,16,0.484,-1.02,-2.29,5.0,11.0,8,6,6,9,64.4,62.4,40.2,22.9,53.0,0.432,5.58,16.6,0.337,11.1,15.9,0.697,8.87,30.5,11.5,6.77,4.06,11.8,17.5
150,Loyola (MD),35,23,12,0.657,1.35,-2.08,12.0,6.0,13,3,7,8,66.9,63.5,40.6,21.9,53.0,0.414,4.69,15.6,0.3,14.9,22.5,0.663,12.5,33.9,10.7,5.23,4.26,13.6,19.0
151,Loyola Marymount,34,11,23,0.324,-3.1,2.81,1.0,15.0,5,9,2,12,64.8,68.8,40.4,23.6,53.2,0.443,7.18,19.0,0.377,14.4,21.5,0.67,10.6,35.0,13.8,6.79,3.29,14.1,17.7
152,Maine,30,11,19,0.367,-9.55,-4.1,6.0,10.0,8,4,3,15,66.3,69.7,40.0,24.7,59.1,0.418,6.8,19.1,0.356,13.6,19.6,0.692,11.6,36.3,12.6,7.6,2.63,12.2,16.1
153,Manhattan,32,14,18,0.438,-1.96,-0.36,9.0,9.0,7,4,5,11,58.3,59.9,40.3,19.4,48.1,0.404,5.5,15.8,0.349,15.5,22.4,0.693,10.4,32.4,11.3,7.03,3.84,14.6,20.6
154,Marist,31,10,21,0.323,-6.33,-1.62,6.0,12.0,6,7,3,11,66.0,70.7,40.5,25.8,58.1,0.443,6.45,17.6,0.367,12.7,18.6,0.681,11.5,37.2,13.2,7.74,3.35,13.0,19.3
155,Marquette NCAA,35,26,9,0.743,14.05,8.59,14.0,4.0,16,0,5,6,68.1,62.6,40.6,22.2,54.9,0.404,6.37,19.7,0.323,11.9,17.4,0.682,11.6,30.8,13.2,6.54,3.77,12.5,18.8
