Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
80,George Mason,28,7,21,0.25,-10.13,-1.21,,2.0,12.0,,4,9,,2,11,,1911,2102,,,,0.345,0.24,0.49,49.2,47.9,,6.1,0.456,18.3,,0.229
81,George Washington NCAA,30,21,9,0.7,11.56,4.26,,8.0,6.0,,10,2,,7,5,,2292,2073,,,,0.482,0.246,0.524,52.7,46.2,,10.6,0.494,,,0.301
82,Georgetown,33,20,13,0.606,13.03,8.63,,8.0,10.0,,13,3,,4,8,,2285,2062,,,,0.426,0.208,0.516,54.0,54.4,,8.2,0.47,19.2,,0.3
83,Georgia,29,15,14,0.517,11.52,10.02,,8.0,8.0,,10,3,,3,8,,2254,2174,,,,0.416,0.252,0.543,52.3,52.7,,9.8,0.523,20.1,,0.254
84,Georgia Southern,28,19,9,0.679,-1.55,-4.87,,12.0,6.0,,10,2,,6,6,,2216,2110,,,,0.319,0.254,0.53,52.5,53.6,,5.2,0.509,18.1,,0.201
85,Georgia State,27,13,14,0.481,-9.62,-5.22,,5.0,7.0,,10,3,,2,9,,2060,2080,,,,0.425,0.189,0.493,48.1,48.5,,4.2,0.461,16.3,,0.265
86,Georgia Tech NCAA,30,19,11,0.633,12.95,10.39,,8.0,8.0,,9,5,,6,5,,2331,2257,,,,0.298,0.208,0.557,51.8,65.0,,10.2,0.534,18.8,,0.204
87,Gonzaga,28,19,9,0.679,1.61,-4.93,,10.0,4.0,,13,0,,4,7,,2092,1833,,,,0.524,0.219,0.584,50.5,51.0,,6.9,0.549,16.8,,0.36
88,Grambling,27,13,14,0.481,-11.58,-8.5,,5.0,9.0,,9,5,,3,8,,2254,2268,,,,0.377,0.141,0.52,50.9,53.1,,7.3,0.496,20.7,,0.233
89,Green Bay,27,13,14,0.481,-2.14,-5.33,,9.0,7.0,,9,4,,4,9,,1785,1705,,,,0.279,0.261,0.56,52.1,65.3,,5.5,0.533,19.1,,0.202
90,Hartford,28,14,14,0.5,-5.71,-6.09,,7.0,7.0,,8,4,,4,10,,2043,2024,,,,0.436,0.21,0.514,50.9,48.8,,11.3,0.473,18.0,,0.296
91,Harvard,26,6,20,0.231,-16.14,-4.7,,3.0,11.0,,5,8,,1,11,,1806,2076,,,,0.365,0.208,0.481,49.5,46.5,,8.2,0.453,20.2,,0.224
92,Hawaii,28,12,16,0.429,2.48,2.98,,7.0,11.0,,9,8,,2,7,,1961,1965,,,,0.382,0.207,0.54,49.5,60.0,,6.3,0.503,19.2,,0.269
93,Hofstra,27,9,18,0.333,-11.59,-3.12,,,,,6,1,,3,15,,1700,1901,,,,0.493,0.264,0.549,45.4,55.8,,5.1,0.501,22.1,,0.354
94,Holy Cross NCAA,30,23,7,0.767,2.59,-5.04,,12.0,2.0,,13,1,,9,4,,2563,2334,,,,0.456,0.226,0.562,48.2,60.6,,5.9,0.516,16.8,,0.336
95,Houston,30,21,9,0.7,9.8,2.66,,9.0,5.0,,12,1,,7,7,,2376,2161,,,,0.425,0.304,0.563,48.8,53.1,,11.8,0.534,17.3,,0.284
96,Howard,28,10,18,0.357,-18.06,-9.91,,6.0,10.0,,6,5,,3,12,,1928,2125,,,,0.5,0.22,0.484,48.3,49.3,,4.4,0.446,19.9,,0.306
97,Idaho,32,24,8,0.75,1.08,-4.85,,11.0,3.0,,14,3,,6,4,,2384,2123,,,,0.371,0.211,0.538,57.4,54.4,,8.2,0.516,16.7,,0.233
98,Idaho State,28,10,18,0.357,-6.83,-3.16,,5.0,9.0,,8,5,,1,11,,1994,2060,,,,0.395,0.336,0.534,46.1,60.4,,5.4,0.489,18.4,,0.291
99,Illinois NCAA,32,19,13,0.594,11.83,9.27,,11.0,7.0,,12,4,,4,6,,2429,2347,,,,0.409,0.235,0.555,52.1,56.6,,6.4,0.522,18.1,,0.282
100,Illinois State,29,19,10,0.655,3.76,0.97,,13.0,5.0,,12,2,,5,7,,1930,1839,,,,0.386,0.239,0.552,51.4,59.0,,3.3,0.522,19.2,,0.262
101,Illinois-Chicago,32,17,15,0.531,-2.82,-3.45,,9.0,7.0,,9,5,,5,9,,2528,2465,,,,0.313,0.261,0.528,47.7,50.2,,10.5,0.499,16.5,,0.216
102,Indiana NCAA,35,31,4,0.886,25.83,11.09,,17.0,1.0,,15,0,,9,1,,3028,2506,,,,0.459,0.225,0.603,52.1,57.6,,6.0,0.57,15.2,,0.329
103,Indiana State,28,11,17,0.393,-0.23,2.29,,7.0,11.0,,9,4,,2,12,,1882,1946,,,,0.418,0.274,0.566,48.8,53.2,,4.5,0.518,20.6,,0.321
104,Iona,27,16,11,0.593,-1.01,-1.97,,9.0,5.0,,10,2,,4,8,,2046,2005,,,,0.433,0.25,0.557,48.7,65.8,,9.2,0.523,19.9,,0.297
