Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
235,Southeast Missouri State,27,14,13,0.519,-6.61,-5.53,10.0,8.0,9,4,5,9,73.2,71.8,,25.9,57.1,0.453,7.7,21.3,0.362,13.7,19.6,0.701,9.81,34.6,15.1,5.93,2.74,13.4,16.8
236,Southeastern Louisiana,26,6,20,0.231,-18.73,-8.9,2.0,14.0,4,8,2,12,79.4,85.8,,29.2,65.9,0.442,8.73,24.3,0.359,12.4,18.7,0.661,14.5,37.2,16.6,7.08,2.23,18.2,22.7
237,Southern,27,14,13,0.519,-7.83,-11.14,10.0,6.0,10,1,4,11,86.4,80.3,,30.6,66.9,0.457,5.96,17.4,0.343,19.3,29.7,0.651,17.0,39.1,13.7,11.0,3.11,16.2,23.6
238,Southern California,28,9,19,0.321,2.12,7.48,5.0,13.0,6,7,3,12,75.0,80.4,40.7,27.1,63.0,0.43,8.14,21.8,0.374,12.8,19.9,0.64,13.8,37.0,14.0,8.43,4.36,17.3,20.9
239,Southern Illinois,32,14,18,0.438,1.8,2.32,8.0,10.0,7,6,5,9,70.8,70.6,37.7,25.5,59.5,0.429,7.59,20.5,0.37,12.2,18.3,0.67,17.0,39.9,14.0,6.28,2.06,15.7,17.1
240,Southern Methodist,28,18,10,0.643,5.82,0.63,6.0,8.0,13,4,4,5,76.5,70.3,,26.4,62.3,0.424,7.21,21.0,0.344,16.4,23.9,0.685,16.6,40.4,12.8,7.07,3.07,12.8,15.8
241,Southern Mississippi,33,22,11,0.667,8.92,2.42,9.0,7.0,10,3,6,6,69.2,62.3,,24.5,52.0,0.471,3.97,11.0,0.362,16.2,23.4,0.692,10.1,35.5,14.4,6.03,3.73,14.4,18.1
242,Southern Utah,27,7,20,0.259,-13.89,-5.41,4.0,12.0,6,7,1,12,68.9,76.0,,23.9,58.3,0.41,5.19,18.2,0.285,15.9,22.9,0.695,11.5,34.4,12.9,7.93,4.67,16.7,22.1
243,St. Bonaventure,32,17,15,0.531,4.11,3.42,6.0,10.0,10,3,3,10,65.8,65.1,,23.3,54.8,0.424,4.22,14.7,0.287,15.0,23.5,0.639,15.1,37.3,11.5,8.63,5.13,16.6,18.0
244,St. Francis (NY),27,15,12,0.556,-5.54,-6.89,10.0,6.0,9,3,6,8,71.4,69.6,,24.9,59.5,0.419,6.3,19.4,0.324,15.3,23.0,0.664,14.1,38.0,14.0,9.3,3.19,17.8,22.4
