Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
152,Richmond,CAA,,15,14,67.4,67.6,-0.10,,-1.38,,-4.16,2.67,-1.49,,,
153,Texas-Rio Grande Valley,Ind,,16,12,77.8,73.1,4.68,,-3.17,,2.58,-4.21,-1.63,,,
154,Charleston Southern,Big South,,21,9,81.5,71.6,9.90,,-10.01,,2.98,-4.84,-1.85,,,
155,Portland,WCAC,,14,14,66.2,67.6,-1.43,,1.64,,-5.28,3.40,-1.88,,,
156,George Washington,A-10,,10,19,77.6,78.4,-0.83,,1.64,,4.95,-7.09,-2.14,,,
157,Pacific,PCAA,,10,17,63.3,68.7,-5.41,,4.57,,-7.35,5.20,-2.15,,,
158,Green Bay,Mid-Cont,,15,14,60.3,59.1,1.21,,-2.64,,-13.20,10.98,-2.22,,,
159,Little Rock,TAAC,,26,11,71.3,69.1,2.19,,-3.56,,-5.46,3.05,-2.41,,,
160,Morehead State,OVC,,14,14,79.6,74.0,5.61,,-2.43,,-0.11,-2.40,-2.51,,,
161,Fordham,MAAC,,14,16,77.3,77.1,0.17,,-2.48,,4.53,-7.12,-2.58,,,
162,Idaho,Big Sky,,16,14,66.3,65.7,0.57,,-0.60,,-7.08,4.48,-2.60,,,
163,Houston Christian,TAAC,,18,11,78.1,71.6,6.48,,-6.74,,-0.61,-2.05,-2.66,,,
164,Cornell,Ivy,,15,11,74.5,72.5,1.96,,-3.77,,-1.21,-1.48,-2.69,,,
165,Siena,ECACN,,17,12,75.3,72.5,2.83,,-4.39,,-1.24,-1.48,-2.72,,,
166,Duquesne,A-10,,12,17,69.4,72.8,-3.41,,1.99,,-1.81,-0.94,-2.75,,,
167,Southern,SWAC,,19,12,87.3,65.7,21.61,,-8.79,,10.86,-13.64,-2.79,,,
168,FDU,ECACM,,19,10,75.3,68.9,6.41,,-7.49,,-1.73,-1.08,-2.81,,,
169,Oral Roberts,MW Coll,,11,17,66.9,70.1,-3.18,,0.33,,-6.22,3.38,-2.85,,,
170,Canisius,ECACN,,16,12,71.6,70.1,1.46,,-4.23,,-3.72,0.86,-2.86,,,
171,Old Dominion,Sun Belt,,6,22,65.7,72.8,-7.11,,3.77,,-5.46,2.48,-2.98,,,
172,Miami (FL),Ind,,15,16,75.2,75.3,-0.10,,-0.02,,-0.71,-2.38,-3.09,,,
173,Butler,MW Coll,,12,16,72.7,73.8,-1.11,,-2.07,,-0.45,-2.74,-3.19,,,
174,Louisiana-Monroe,Southland,,13,15,66.6,67.1,-0.50,,-1.58,,-7.19,3.95,-3.24,,,
175,Fresno State,PCAA,,9,20,58.2,63.8,-5.59,,4.35,,-13.19,9.84,-3.35,,,
176,Tennessee State,OVC,,15,12,72.7,67.9,4.89,,-5.17,,-6.01,2.49,-3.52,,,
177,Marist,ECACM,,20,10,68.5,62.9,5.60,,-8.23,,-10.04,6.41,-3.63,,,
178,Air Force,WAC,,12,15,71.3,72.1,-0.78,,0.37,,-2.38,-1.34,-3.72,,,
179,Stephen F. Austin,GSC,,22,8,68.8,63.3,5.50,,-8.59,,-9.07,5.23,-3.84,,,
180,East Carolina,CAA,,12,16,69.0,70.3,-1.32,,-0.07,,-4.76,0.85,-3.91,,,
181,Fairfield,MAAC,,15,16,65.8,66.5,-0.65,,-3.17,,-6.89,2.98,-3.91,,,
182,Iona,MAAC,,16,14,72.4,72.6,-0.17,,-3.07,,0.25,-4.21,-3.96,,,
183,Furman,Southern,,17,12,73.1,71.1,2.00,,-3.05,,-2.69,-1.37,-4.05,,,
184,Ohio,MAC,,14,14,70.3,71.5,-1.21,,-1.61,,-5.09,1.02,-4.07,,,
185,Massachusetts,A-10,,11,16,64.5,68.5,-4.04,,0.69,,-8.43,4.35,-4.08,,,
186,Western Michigan,MAC,,12,16,74.7,78.2,-3.46,,-0.56,,2.30,-6.59,-4.29,,,
187,Princeton,Ivy,,16,9,66.0,65.5,0.52,,-3.17,,-12.21,7.87,-4.35,,,
188,Georgia Southern,TAAC,,20,11,70.7,67.7,2.97,,-6.05,,-7.17,2.74,-4.43,,,
189,Hawaii,WAC,,7,21,74.6,82.4,-7.75,,3.12,,2.96,-7.44,-4.48,,,
190,Yale,Ivy,,14,12,76.0,75.2,0.77,,-4.85,,0.89,-5.42,-4.53,,,
191,Lafayette,ECC,,16,13,75.2,71.4,3.86,,-8.42,,-3.14,-1.42,-4.56,,,
192,Northern Arizona,Big Sky,,11,17,70.8,72.1,-1.32,,-1.83,,-5.45,0.85,-4.59,,,
193,Loyola Marymount,WCAC,,12,16,85.3,87.6,-2.39,,1.14,,11.33,-15.94,-4.61,,,
194,Illinois-Chicago,Mid-Cont,,17,15,83.2,80.3,2.81,,-1.92,,8.29,-12.92,-4.63,,,
195,Rutgers,A-10,,8,20,70.2,75.2,-5.00,,2.10,,-0.48,-4.28,-4.76,,,
