Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
92,Southern Illinois,MVC,,14,14,73.0,71.8,1.18,,3.62,,4.53,-0.76,3.77,,,
93,Vanderbilt,SEC,,11,17,70.5,72.4,-1.93,,5.69,,4.67,-0.91,3.76,,,
94,Nevada,Big Sky,,21,10,77.9,70.4,7.55,,0.96,,8.14,-4.38,3.75,,,
95,Connecticut,Big East,,13,15,71.1,71.2,-0.07,,3.67,,3.21,0.39,3.60,,,
96,Wisconsin,Big Ten,,14,14,70.3,71.9,-1.64,,7.35,,3.45,0.06,3.51,,,
97,Pepperdine,WCAC,,23,9,75.8,71.0,4.84,,-1.26,,6.15,-2.66,3.49,,,
98,New Mexico,WAC,,19,13,70.4,66.8,3.63,,0.50,,0.77,2.61,3.37,,,
99,Creighton,MVC,,20,12,74.3,73.2,1.19,,5.37,,4.57,-1.29,3.29,,,
100,Iona,MAAC,,26,5,74.6,67.5,7.19,,-3.87,,2.54,0.66,3.19,,,
101,Murray State,OVC,,19,9,66.9,60.0,6.86,,-4.08,,-3.54,6.00,2.46,,,
102,Toledo,MAC,,16,12,69.3,67.1,2.18,,0.83,,-1.08,3.54,2.46,,,
103,George Washington,A-10,,14,14,69.7,64.4,5.32,,-1.66,,0.99,1.42,2.41,,,
104,Northeastern,ECACN,,22,9,79.0,69.4,9.61,,-4.48,,6.10,-3.72,2.38,,,
105,Montana,Big Sky,,22,8,68.4,61.0,7.33,,-1.93,,-2.84,5.17,2.34,,,
106,South Carolina,Metro,,15,13,74.7,73.8,0.86,,2.97,,5.55,-3.38,2.17,,,
107,Indiana State,MVC,,14,15,78.1,77.7,0.48,,4.44,,8.42,-6.30,2.13,,,
108,California,Pac-10,,13,15,62.1,61.8,0.25,,4.32,,-4.94,7.01,2.08,,,
109,Alcorn State,SWAC,,23,7,85.2,76.2,9.00,,-5.58,,8.84,-6.84,2.00,,,
110,Kent State,MAC,,17,13,71.7,70.2,1.47,,1.21,,2.30,-0.33,1.97,,,
111,Marshall,Southern,,21,13,75.2,69.4,5.82,,-2.46,,4.43,-2.48,1.94,,,
112,San Jose State,PCAA,,16,13,70.4,63.7,6.72,,-0.47,,-0.79,2.73,1.94,,,
113,Canisius,ECACN,,20,10,72.9,64.1,8.80,,-5.41,,0.92,1.00,1.92,,,
114,Eastern Michigan,MAC,,15,13,75.6,73.8,1.79,,0.94,,5.28,-3.45,1.83,,,
115,Arizona State,Pac-10,,12,16,67.8,71.3,-3.46,,5.88,,3.66,-1.86,1.80,,,
116,Chattanooga,Southern,,24,8,71.4,66.4,5.06,,-2.04,,-0.35,2.07,1.72,,,
117,Cleveland State,Mid-Cont,,21,8,81.5,71.5,10.03,,-4.90,,9.41,-7.69,1.71,,,
118,Brigham Young,WAC,,15,14,75.0,74.4,0.55,,1.15,,5.66,-3.96,1.70,,,
119,Tennessee Tech,OVC,,19,9,72.2,66.2,5.96,,-1.48,,0.51,0.97,1.48,,,
120,George Mason,ECACS,,18,11,78.8,73.6,5.21,,-3.62,,8.49,-7.05,1.45,,,
121,McNeese State,Southland,,18,10,76.3,71.2,5.04,,-0.49,,3.76,-2.42,1.35,,,
122,Washington State,Pac-10,,13,15,64.0,65.6,-1.61,,4.47,,-0.76,2.07,1.31,,,
123,Ball State,MAC,,13,16,76.7,75.1,1.66,,-0.36,,7.00,-5.71,1.30,,,
124,Southern Mississippi,Metro,,7,21,68.5,72.3,-3.79,,6.94,,1.54,-0.32,1.22,,,
125,Saint Mary's (CA),WCAC,,15,12,67.4,62.2,5.19,,-0.53,,-3.12,4.34,1.21,,,
126,Rutgers,A-10,,16,14,71.5,69.0,2.43,,-0.58,,5.04,-4.05,0.99,,,
127,Butler,MW City,,19,10,68.2,66.9,1.34,,0.64,,-2.90,3.66,0.76,,,
128,Colorado State,WAC,,18,12,69.1,66.7,2.43,,-0.95,,-2.07,2.80,0.73,,,
129,Fordham,MAAC,,19,12,66.9,63.6,3.29,,-2.74,,-3.60,4.22,0.62,,,
130,Southern,SWAC,,19,11,83.8,77.7,6.10,,-5.51,,10.18,-9.66,0.52,,,
131,Utah,WAC,,15,16,71.0,72.0,-1.06,,2.05,,2.23,-1.75,0.48,,,
132,Mercer,TAAC,,22,9,78.0,69.6,8.32,,-7.18,,5.72,-5.42,0.30,,,
133,Northwestern,Big Ten,,6,22,56.3,65.0,-8.71,,11.32,,-9.07,9.31,0.24,,,
134,Cal State Fullerton,PCAA,,17,13,67.8,65.9,1.87,,-0.93,,-1.83,2.00,0.17,,,
135,Utah State,PCAA,,17,11,81.9,81.3,0.57,,-0.37,,13.69,-13.54,0.15,,,
136,Mississippi,SEC,,11,17,60.9,66.0,-5.04,,8.60,,-6.60,6.64,0.04,,,
137,Saint Louis,MW City,,13,15,66.0,65.0,1.04,,1.00,,-7.11,7.03,-0.08,,,
138,Seton Hall,Big East,,10,18,72.3,74.8,-2.46,,4.61,,5.60,-5.75,-0.15,,,
139,Boise State,Big Sky,,16,13,67.8,63.0,4.76,,-1.62,,-3.34,3.12,-0.22,,,
140,Providence,Big East,,11,20,65.1,71.5,-6.48,,6.58,,-0.43,0.15,-0.28,,,
141,Youngstown State,OVC,,19,11,69.5,67.5,1.97,,-2.04,,-0.65,0.16,-0.49,,,
142,Drake,MVC,,12,15,66.3,67.6,-1.30,,2.67,,-2.76,2.18,-0.58,,,
143,St. Bonaventure,A-10,,14,15,64.8,62.9,1.90,,-0.05,,-3.09,2.49,-0.60,,,
144,Georgia Southern,TAAC,,24,5,69.4,60.4,9.03,,-9.74,,-5.92,5.27,-0.66,,,
145,Stanford,Pac-10,,11,17,67.7,67.8,-0.11,,4.10,,0.12,-0.85,-0.74,,,
146,Wyoming,WAC,,15,14,65.4,65.5,-0.10,,1.18,,-5.64,4.86,-0.78,,,
147,Baylor,SWC,,11,17,81.8,81.0,0.79,,3.79,,12.28,-13.07,-0.80,,,
148,Rice,SWC,,11,16,65.0,66.8,-1.78,,5.20,,-3.72,2.80,-0.92,,,
149,Louisiana-Monroe,Southland,,17,12,73.1,69.0,4.10,,-4.65,,-0.71,-0.31,-1.02,,,
150,William & Mary,ECACS,,16,12,66.5,65.3,1.18,,-0.88,,-3.65,2.52,-1.14,,,
151,Hawaii,WAC,,10,18,69.4,74.9,-5.46,,2.10,,1.17,-2.68,-1.51,,,
152,Siena,ECACN,,22,7,72.7,64.2,8.48,,-7.73,,0.06,-1.64,-1.59,,,
153,Colorado,Big 8,,11,17,72.0,76.5,-4.50,,5.27,,3.44,-5.12,-1.69,,,
154,Houston Christian,TAAC,,21,8,70.1,62.5,7.66,,-6.36,,-4.91,3.15,-1.76,,,
155,James Madison,ECACS,,14,14,62.9,62.3,0.61,,-0.10,,-7.13,5.31,-1.83,,,
156,Eastern Illinois,Mid-Cont,,20,10,76.6,70.3,6.23,,-5.96,,1.48,-3.37,-1.89,,,
157,Evansville,MW City,,13,16,70.0,73.0,-3.00,,1.70,,1.88,-3.82,-1.93,,,
158,Missouri State,Mid-Cont,,17,13,71.5,65.8,5.63,,-3.64,,-2.44,0.46,-1.98,,,
159,Southeastern Louisiana,GSC,,18,9,73.1,70.3,2.81,,-4.82,,0.33,-2.32,-1.99,,,
160,San Diego,WCAC,,16,11,61.6,59.2,2.41,,-1.12,,-8.61,6.57,-2.04,,,
161,Western Michigan,MAC,,12,16,76.2,77.3,-1.04,,1.99,,5.89,-7.95,-2.06,,,
162,Northern Arizona,Big Sky,,17,12,69.3,67.8,1.52,,-0.47,,-2.15,0.03,-2.12,,,
163,Gonzaga,WCAC,,15,13,59.3,58.1,1.21,,-0.76,,-11.16,9.00,-2.16,,,
164,UTSA,Ind,,18,10,76.6,72.3,4.32,,-6.42,,2.88,-5.06,-2.18,,,
165,Mississippi Valley State,SWAC,,18,11,78.2,72.1,6.03,,-7.29,,3.66,-5.91,-2.25,,,
166,Middle Tennessee,OVC,,17,14,69.1,66.9,2.16,,-1.72,,-1.71,-0.60,-2.31,,,
167,West Texas A&M,MVC,,11,17,74.4,74.8,-0.36,,3.86,,0.42,-2.73,-2.31,,,
168,Boston University,ECACN,,15,15,68.8,66.4,2.40,,-4.70,,-1.68,-1.09,-2.77,,,
169,Chicago State,Ind,,16,11,73.9,70.0,3.89,,-4.94,,1.33,-4.19,-2.86,,,
