Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
129,Long Beach State,28,13,15,0.464,-4.99,-0.88,9.0,7.0,7,6,5,8,66.6,70.5,40.4,24.6,56.1,0.438,5.18,15.5,0.333,12.3,19.3,0.638,11.3,33.9,11.8,7.25,3.25,16.3,20.2
130,Long Island University,27,10,17,0.37,-11.62,-6.69,10.0,10.0,6,5,4,10,67.7,72.6,,26.2,62.3,0.421,4.63,14.1,0.327,10.7,18.8,0.569,14.4,37.7,12.0,9.07,3.22,17.4,19.5
131,Louisiana,29,13,16,0.448,-1.45,-0.52,7.0,7.0,9,2,3,12,67.3,68.7,,23.6,58.3,0.404,4.66,16.6,0.281,15.5,26.0,0.596,16.1,38.8,11.4,6.62,2.79,16.3,20.8
132,Louisiana State,27,12,15,0.444,2.71,6.06,4.0,12.0,12,4,0,10,66.4,68.9,40.7,23.1,54.1,0.428,5.7,16.7,0.341,14.4,22.4,0.643,12.8,39.7,13.8,7.0,3.78,19.8,18.4
133,Louisiana Tech,28,19,9,0.679,1.89,-3.47,10.0,4.0,9,0,6,7,76.2,70.9,,27.9,60.1,0.463,6.82,20.5,0.333,13.6,18.7,0.73,11.8,34.4,14.6,8.71,2.89,15.1,18.3
134,Louisiana-Monroe,27,13,14,0.481,-10.13,-5.02,12.0,6.0,7,4,6,9,72.4,76.3,40.0,25.9,62.0,0.418,6.0,19.9,0.302,14.6,23.1,0.63,14.6,39.1,13.2,8.96,5.56,20.4,18.4
135,Louisville NCAA,30,19,11,0.633,15.38,8.28,11.0,5.0,11,3,7,6,76.9,69.8,40.0,28.1,59.7,0.471,6.4,18.9,0.339,14.2,20.9,0.678,13.6,35.1,16.8,9.37,4.87,16.7,21.4
136,Loyola (IL),27,9,18,0.333,-6.47,-0.09,7.0,7.0,5,8,4,9,60.9,67.1,40.2,22.1,54.8,0.404,5.22,16.5,0.316,11.4,17.7,0.644,12.3,33.2,13.1,6.78,1.93,15.0,19.0
137,Loyola (MD),28,13,15,0.464,-4.63,-5.49,6.0,12.0,4,9,7,5,77.3,76.5,,28.2,58.6,0.481,5.39,15.1,0.358,15.5,23.8,0.651,13.5,37.9,15.8,8.14,3.0,19.0,18.9
138,Loyola Marymount,27,11,16,0.407,-5.24,1.8,6.0,8.0,8,5,3,11,76.1,81.4,40.2,25.6,61.3,0.418,8.19,23.1,0.355,16.4,22.4,0.733,13.0,36.0,14.3,7.22,4.11,16.1,20.6
139,Maine,28,19,9,0.679,-1.78,-8.11,13.0,5.0,9,2,8,7,80.6,73.7,40.2,28.7,60.9,0.471,7.57,21.1,0.358,15.6,21.1,0.741,11.4,35.2,16.1,10.7,3.11,16.6,19.3
140,Manhattan,27,5,22,0.185,-13.5,-6.24,3.0,15.0,3,9,2,12,62.5,69.8,,21.5,51.2,0.42,4.0,12.6,0.317,15.5,24.4,0.634,12.4,36.0,13.2,6.81,2.81,19.6,21.6
141,Marist,28,16,12,0.571,-4.04,-5.57,8.0,10.0,9,4,5,7,72.6,71.1,40.0,26.5,58.0,0.457,4.07,12.8,0.319,15.5,23.3,0.665,12.6,34.9,15.5,8.61,4.64,13.4,18.6
142,Marquette,29,14,15,0.483,5.19,4.98,6.0,10.0,11,5,2,8,62.9,62.7,40.3,21.8,54.9,0.396,6.48,17.9,0.362,12.9,19.4,0.663,13.6,37.3,11.8,7.07,3.69,16.2,17.8
143,Marshall,27,16,11,0.593,4.71,0.51,11.0,7.0,11,2,5,8,76.9,70.6,40.4,28.1,61.3,0.459,6.48,18.3,0.354,14.1,20.2,0.697,13.4,37.9,15.6,7.74,4.26,14.6,17.8
