Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_TRB%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_eFG%,Opp_TOV%,Opp_ORB%,Opp_FT/FGA
19,Baylor NCAA,36,28,8,0.778,17.97,8.03,,11.0,5.0,,15,1,,6,4,,2771,2362,,67.2,97.0,0.331,0.351,0.478,45.6,57.7,8.9,6.2,0.44,15.0,32.8,0.225
20,Belmont,31,19,12,0.613,1.3,-3.41,,14.0,6.0,,10,3,,8,8,,2266,2124,,70.1,97.0,0.372,0.291,0.495,48.8,49.8,12.0,13.9,0.457,17.3,34.1,0.251
21,Bethune-Cookman,33,17,16,0.515,-13.14,-8.4,,7.0,9.0,,10,4,,4,11,,2021,1996,,62.0,97.3,0.458,0.33,0.52,49.2,53.4,9.5,8.6,0.485,19.5,32.0,0.298
22,Binghamton,31,13,18,0.419,-10.6,-4.31,,8.0,8.0,,9,3,,3,12,,1909,2082,,63.2,105.4,0.332,0.359,0.521,49.8,54.5,9.8,7.2,0.492,15.1,34.5,0.222
23,Boise State,32,15,17,0.469,-1.11,0.68,,5.0,11.0,,9,7,,4,9,,2370,2331,,71.3,101.3,0.309,0.297,0.535,49.2,49.1,8.6,6.7,0.509,17.8,31.1,0.21
24,Boston College,31,15,16,0.484,9.58,7.21,,6.0,10.0,,11,6,,3,7,,2145,2048,,65.8,100.3,0.31,0.283,0.508,46.5,47.5,9.2,11.1,0.478,15.3,31.7,0.208
25,Boston University,35,21,14,0.6,0.57,-3.23,,11.0,5.0,,10,4,,9,8,,2528,2395,,70.1,96.9,0.424,0.352,0.508,50.6,54.7,8.9,9.7,0.468,17.8,31.0,0.286
26,Bowling Green State,30,14,16,0.467,-4.7,-0.94,,6.0,10.0,,9,5,,5,11,,1889,1976,,63.8,102.8,0.346,0.385,0.533,48.8,64.6,11.1,8.2,0.503,17.5,31.7,0.235
27,Bradley,31,16,15,0.516,3.74,4.11,,9.0,9.0,,10,5,,4,8,,2091,2089,,64.9,103.0,0.305,0.41,0.517,51.5,56.7,8.8,5.7,0.474,15.8,33.2,0.236
28,Brigham Young NCAA,36,30,6,0.833,18.82,3.0,,13.0,3.0,,15,1,,10,4,,2992,2392,,71.0,92.9,0.358,0.323,0.499,47.0,53.2,8.4,7.4,0.462,19.1,27.8,0.244
29,Brown,31,11,20,0.355,-10.68,-3.82,,5.0,9.0,,4,9,,6,10,,2073,2231,,66.5,107.4,0.238,0.304,0.519,53.9,49.9,10.3,11.0,0.497,12.7,33.3,0.161
30,Bryant,30,1,29,0.033,,,,1.0,17.0,,0,11,,1,16,,1503,2034,,62.8,107.6,0.437,0.34,0.54,56.6,57.3,12.6,10.9,0.507,16.0,36.5,0.289
31,Bucknell,31,14,17,0.452,-7.94,-6.84,,9.0,5.0,,8,5,,5,11,,2077,2107,,65.4,102.3,0.378,0.319,0.533,50.6,52.9,8.3,8.2,0.493,16.9,30.9,0.272
32,Buffalo,30,18,12,0.6,-2.03,-2.27,,9.0,7.0,,9,4,,8,6,,2170,2135,,69.0,102.3,0.388,0.313,0.548,49.0,47.8,10.0,8.1,0.512,19.0,31.6,0.272
33,Butler NCAA,38,33,5,0.868,14.37,5.08,,18.0,0.0,,15,0,,12,1,,2611,2258,,64.1,92.4,0.346,0.316,0.501,47.9,50.6,8.2,10.4,0.466,19.0,27.4,0.235
34,Cal Poly,31,12,19,0.387,-7.99,-2.31,,7.0,9.0,,6,6,,5,12,,2176,2335,,67.8,109.7,0.541,0.343,0.567,48.9,57.4,8.3,9.1,0.519,15.7,30.1,0.389
35,Cal State Bakersfield,29,7,22,0.241,,,,,,,5,6,,2,15,,1907,2163,,68.4,108.1,0.366,0.293,0.543,51.1,53.3,9.1,8.7,0.506,16.0,36.9,0.262
36,Cal State Fullerton,31,16,15,0.516,-2.87,-1.55,,8.0,8.0,,8,5,,7,6,,2303,2263,,69.3,101.6,0.386,0.301,0.517,49.8,48.8,8.2,7.1,0.48,15.7,31.0,0.263
37,Cal State Northridge,32,11,21,0.344,-5.81,-1.06,,6.0,10.0,,7,6,,2,13,,2282,2412,,72.6,102.6,0.48,0.381,0.538,49.5,61.8,10.8,8.5,0.489,18.9,34.9,0.344
38,California NCAA,35,24,11,0.686,17.29,8.26,,13.0,5.0,,15,1,,6,6,,2703,2387,,67.9,100.1,0.333,0.31,0.517,47.5,50.2,8.1,9.3,0.483,16.2,31.1,0.231
39,Campbell,30,19,11,0.633,-3.13,-4.96,,14.0,6.0,,12,3,,7,7,,2057,1900,,66.7,95.0,0.414,0.392,0.539,49.4,66.0,9.8,13.4,0.502,23.8,33.3,0.285
40,Canisius,32,15,17,0.469,-5.19,-4.09,,8.0,10.0,,7,5,,5,10,,2125,2160,,66.2,100.0,0.316,0.347,0.506,49.0,55.2,10.6,9.9,0.478,16.5,33.5,0.207
41,Centenary (LA),29,8,21,0.276,-17.16,-5.08,,3.0,15.0,,5,9,,3,11,,2056,2320,,71.9,109.8,0.446,0.307,0.587,56.1,55.2,10.2,12.9,0.548,19.3,35.9,0.327
42,Central Arkansas,30,9,21,0.3,,,,3.0,13.0,,2,8,,2,12,,1897,2009,,65.8,101.3,0.338,0.303,0.53,50.6,51.3,10.1,13.2,0.499,18.0,32.3,0.233
43,Central Connecticut State,30,12,18,0.4,-14.68,-9.68,,9.0,9.0,,8,4,,3,13,,1834,1935,,63.7,100.0,0.286,0.288,0.528,51.3,47.8,10.6,10.3,0.504,19.0,33.6,0.191
44,Central Michigan,30,15,15,0.5,-3.58,-3.58,,9.0,7.0,,10,3,,5,11,,1937,1924,,64.5,99.5,0.549,0.321,0.541,49.2,50.2,9.0,10.2,0.482,20.5,32.3,0.401
45,Charleston Southern,30,13,17,0.433,-13.25,-8.12,,7.0,11.0,,11,3,,2,14,,2062,2030,,67.6,98.4,0.359,0.316,0.524,49.4,54.2,10.6,7.6,0.495,19.6,33.4,0.237
46,Charlotte,31,19,12,0.613,3.96,3.0,,9.0,7.0,,10,5,,7,7,,2276,2205,,69.4,101.7,0.32,0.365,0.506,48.3,54.0,8.4,10.1,0.471,15.0,32.9,0.224
47,Chattanooga,33,15,18,0.455,-8.56,-3.68,,6.0,12.0,,11,5,,2,11,,2305,2379,,70.9,101.7,0.318,0.488,0.533,49.2,58.4,11.5,10.5,0.507,17.9,30.8,0.213
