Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
34,Central Connecticut State,27,8,19,0.296,-21.32,-8.93,,,,,6,7,,1,12,,76.2,83.8,,,27.2,64.5,0.421,5.41,14.0,0.387,16.4,24.1,0.682,,37.7,15.6,9.74,2.56,18.2,21.7
35,Central Michigan,26,8,18,0.308,-11.82,-2.36,,4.0,14.0,,5,6,,3,9,,73.8,81.3,,,27.2,61.9,0.439,4.92,15.5,0.318,14.5,22.8,0.639,,35.0,13.6,7.12,4.04,16.5,22.8
36,Charleston Southern,27,9,18,0.333,-18.53,-9.01,,5.0,11.0,,7,8,,2,10,,72.3,75.7,,,26.2,58.7,0.447,4.7,13.6,0.347,15.1,19.5,0.776,,35.9,13.6,6.0,0.81,16.2,23.0
37,Charlotte,28,15,13,0.536,5.37,2.83,,6.0,6.0,,8,4,,5,7,,72.8,69.8,,,26.0,59.5,0.437,4.25,13.0,0.328,16.5,25.9,0.637,,41.9,15.5,8.43,3.54,16.4,21.6
38,Chattanooga NCAA,33,26,7,0.788,6.63,-3.06,,16.0,2.0,,14,1,,8,3,,85.5,72.3,,,30.2,62.4,0.483,7.12,18.7,0.381,18.0,24.0,0.751,,39.5,16.6,7.91,3.55,13.5,15.5
39,Chicago State,27,4,23,0.148,-21.96,-1.19,,,,,3,6,,1,17,,70.6,95.3,,,26.4,66.9,0.394,4.04,12.4,0.324,13.8,21.7,0.637,,39.9,12.0,7.56,2.04,16.9,23.1
40,Cincinnati NCAA,32,27,5,0.844,22.62,6.62,,8.0,2.0,,14,0,,8,3,,74.5,58.5,,,28.1,59.8,0.47,4.97,15.4,0.322,13.3,20.8,0.639,,36.0,16.0,9.97,2.59,14.1,18.5
41,Clemson,30,17,13,0.567,10.05,7.55,,5.0,11.0,,11,5,,4,7,,79.2,76.7,,,29.2,61.9,0.472,6.4,18.5,0.347,14.4,21.6,0.666,,37.4,17.0,9.93,5.77,16.4,17.9
42,Cleveland State,28,22,6,0.786,-0.08,-5.51,,15.0,1.0,,11,1,,10,4,,76.4,70.9,,,27.1,57.3,0.474,5.39,14.3,0.378,16.7,24.6,0.677,,36.7,16.6,6.57,3.11,15.7,19.9
43,Coastal Carolina NCAA,32,22,10,0.688,-3.91,-7.88,,12.0,4.0,,11,2,,8,7,,77.8,70.9,,,27.9,58.3,0.479,6.09,15.1,0.405,15.8,22.6,0.701,,35.7,15.0,7.78,3.75,14.1,16.4
44,Colgate,28,18,10,0.643,-5.96,-9.6,,9.0,5.0,,11,4,,6,6,,76.8,73.1,,,26.2,61.0,0.429,6.57,17.4,0.377,17.9,25.3,0.705,,39.3,13.6,8.5,3.86,14.9,20.6
45,College of Charleston,27,19,8,0.704,-4.08,-8.3,,,,,15,1,,4,7,,68.4,60.4,,,22.8,49.9,0.457,3.19,10.3,0.31,19.7,28.5,0.692,,33.9,14.1,9.33,3.22,13.2,18.7
46,Colorado,27,10,17,0.37,6.48,7.62,,2.0,12.0,,9,5,,0,10,,74.2,75.3,,,26.5,57.3,0.463,4.11,12.5,0.329,17.0,26.6,0.642,,37.6,14.5,8.59,5.89,19.5,21.1
47,Colorado State,29,17,12,0.586,3.33,2.22,,9.0,9.0,,14,2,,3,9,,74.9,71.5,,,25.7,55.8,0.461,6.24,16.2,0.384,17.2,23.9,0.72,,34.1,17.0,6.55,2.48,12.7,18.6
48,Columbia,26,16,10,0.615,-3.01,-6.65,,10.0,4.0,,8,3,,5,6,,72.7,66.8,,,24.9,50.8,0.49,3.54,9.88,0.358,19.3,27.5,0.703,,33.8,14.4,6.96,4.92,14.5,17.1
